G23    5.452    0.579
G24    2.831    0.926
G29    3.765    0.329
R03    0.735    0.465
R04    5.931    0.833
R05    4.909    0.405
R13    1.067    0.383
R14    2.116    0.413
R18    3.336    0.589
R19    4.453    1.064
R20    5.724    0.376
E04    4.824    0.965
E09    4.326    0.147
E11    5.489    0.664
E12    3.727    1.256
E19    0.554    0.870
E21    1.701    0.162
E33    2.782    0.458
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.757    1.046
C08    0.779    1.333
C09    3.725    0.863
C13    6.215    1.291
C16    3.755    1.181
C20    0.757    0.808
C22    4.845    0.188
C29    3.753    0.653
C35    4.920    0.640
C36    3.151    0.130
C37    1.249    0.462
C38    1.743    1.270
C39    3.952    1.343
C46    2.379    0.557
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:23.000   45
G05    1.503    0.573
G10    5.178    0.128
G13    0.713    0.555
G15    0.202    1.111
G18    5.209    1.171
G20    1.851    0.142
G23    5.452    0.579
G24    2.831    0.926
G29    3.765    0.329
R03    0.736    0.465
R04    5.931    0.833
R05    4.909    0.405
R13    1.067    0.383
R14    2.116    0.413
R18    3.336    0.589
R19    4.452    1.064
R20    5.724    0.376
E04    4.824    0.965
E09    4.326    0.147
E11    5.489    0.664
E12    3.727    1.255
E19    0.554    0.870
E21    1.701    0.162
E33    2.782    0.458
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.757    1.046
C08    0.780    1.333
C09    3.725    0.863
C13    6.215    1.291
C16    3.755    1.181
C20    0.757    0.808
C22    4.845    0.188
C29    3.753    0.652
C35    4.920    0.640
C36    3.151    0.130
C37    1.249    0.462
C38    1.743    1.270
C39    3.953    1.343
C46    2.379    0.557
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:24.000   45
G05    1.503    0.572
G10    5.178    0.128
G13    0.713    0.555
G15    0.202    1.111
G18    5.209    1.171
G20    1.851    0.142
G23    5.452    0.579
G24    2.831    0.926
G29    3.765    0.329
R03    0.736    0.465
R04    5.932    0.833
R05    4.909    0.405
R13    1.067    0.383
R14    2.116    0.414
R18    3.336    0.588
R19    4.452    1.064
R20    5.724    0.376
E04    4.824    0.965
E09    4.326    0.147
E11    5.489    0.664
E12    3.727    1.255
E19    0.554    0.870
E21    1.701    0.162
E33    2.782    0.458
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.757    1.047
C08    0.780    1.333
C09    3.725    0.863
C13    6.215    1.291
C16    3.755    1.181
C20    0.757    0.808
C22    4.846    0.188
C29    3.753    0.652
C35    4.920    0.640
C36    3.151    0.130
C37    1.249    0.462
C38    1.743    1.270
C39    3.953    1.343
C46    2.379    0.557
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:25.000   45
G05    1.503    0.572
G10    5.178    0.128
G13    0.713    0.555
G15    0.202    1.111
G18    5.209    1.171
G20    1.851    0.142
G23    5.452    0.579
G24    2.831    0.926
G29    3.765    0.328
R03    0.736    0.465
R04    5.932    0.833
R05    4.910    0.405
R13    1.067    0.383
R14    2.116    0.414
R18    3.336    0.588
R19    4.452    1.064
R20    5.723    0.376
E04    4.825    0.965
E09    4.327    0.147
E11    5.489    0.664
E12    3.726    1.255
E19    0.554    0.869
E21    1.701    0.162
E33    2.782    0.458
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.757    1.047
C08    0.780    1.333
C09    3.725    0.863
C13    6.215    1.291
C16    3.755    1.181
C20    0.757    0.808
C22    4.846    0.188
C29    3.753    0.652
C35    4.920    0.640
C36    3.151    0.130
C37    1.248    0.462
C38    1.743    1.270
C39    3.953    1.343
C46    2.379    0.557
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:26.000   45
G05    1.503    0.572
G10    5.178    0.128
G13    0.713    0.555
G15    0.203    1.111
G18    5.208    1.171
G20    1.851    0.142
G23    5.452    0.579
G24    2.831    0.926
G29    3.765    0.328
R03    0.736    0.465
R04    5.932    0.833
R05    4.910    0.405
R13    1.067    0.383
R14    2.115    0.414
R18    3.336    0.588
R19    4.451    1.064
R20    5.723    0.377
E04    4.825    0.965
E09    4.327    0.147
E11    5.489    0.664
E12    3.726    1.255
E19    0.554    0.869
E21    1.700    0.162
E33    2.782    0.458
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.757    1.047
C08    0.780    1.333
C09    3.725    0.863
C13    6.215    1.291
C16    3.755    1.181
C20    0.757    0.808
C22    4.846    0.188
C29    3.753    0.652
C35    4.920    0.640
C36    3.151    0.130
C37    1.248    0.462
C38    1.744    1.270
C39    3.954    1.343
C46    2.379    0.557
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:27.000   45
G05    1.504    0.572
G10    5.178    0.128
G13    0.713    0.555
G15    0.203    1.110
G18    5.208    1.171
G20    1.851    0.142
G23    5.452    0.579
G24    2.830    0.926
G29    3.764    0.328
